"No.","Time","Source","Destination","Protocol","Length","Info"
"5931","38.070706","2a00:1450:400e:80e::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"5935","38.071469","2a00:1450:400e:80e::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"6322","38.201620","2a00:1450:400e:80f::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"6360","38.295178","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:811::200a","TLSv1.3","669","Client Hello (SNI=signaler-pa.clients6.google.com)"
"6365","38.303913","2a00:1450:400e:811::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"6370","38.304831","2a00:1450:400e:811::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2838","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"6374","38.306560","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:811::200a","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"6658","38.834845","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80d::200e","TLSv1.3","652","Client Hello (SNI=ogs.google.com)"
"6660","38.843488","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"6663","38.844109","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2220","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"6666","38.846015","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:80d::200e","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"6675","38.914619","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"6679","38.915084","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"6680","38.915084","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","[TLS segment of a reassembled PDU]"
"6685","38.916927","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"6686","38.916927","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"6687","38.916927","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"6693","38.919758","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"6694","38.919758","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"6695","38.919758","2a00:1450:400e:80d::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"7124","39.759033","2a00:1450:400e:810::200a","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"7527","60.014702","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:801::2003","TLSv1.3","627","Client Hello (SNI=update.googleapis.com)"
"7529","60.023896","2a00:1450:400e:801::2003","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Server Hello, Change Cipher Spec"
"7532","60.024403","2a00:1450:400e:801::2003","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1312","Encrypted Extensions, Certificate, Certificate Verify, Finished"
"7536","60.032193","2001:6a8:3081:6f14:5466:8764:98d4:f811","2a00:1450:400e:801::2003","TLSv1.3","160","Change Cipher Spec, Encrypted Extensions, Finished"
"7898","78.808098","2a00:1450:400e:80f::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"7900","78.808098","2a00:1450:400e:80f::200e","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","[TLS segment of a reassembled PDU]"
"7928","78.835561","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","125","Application Data"
"7934","78.844472","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","227","Application Data"
"7935","78.844472","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","698","Application Data"
"7936","78.844472","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","117","Application Data"
"7937","78.844472","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","125","Application Data"
"7938","78.844472","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","200","Application Data"
"7939","78.844472","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","678","Application Data"
"7940","78.844472","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","117","Application Data"
"7961","79.471573","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","199","Application Data"
"7962","79.471573","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","Application Data"
"7963","79.471573","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","1294","Application Data"
"7964","79.471573","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Application Data, Application Data"
"7965","79.471573","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","4918","Application Data, Application Data, Application Data, Application Data"
"7966","79.471630","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data"
"7967","79.471630","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data"
"7968","79.471647","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","3710","Application Data, Application Data, Application Data"
"7970","79.472783","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","2502","Application Data, Application Data"
"7971","79.472783","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"7972","79.472783","2a00:1450:400e:810::2001","2001:6a8:3081:6f14:5466:8764:98d4:f811","TLSv1.3","6126","Application Data, Application Data, Application Data, Application Data, Application Data"
